posting_id,user_id,term,start_date,end_date,pop,price_per_month,gender_details,rooms_available,total_rooms,ac,washrooms,wifi,parking,laundry,description,created_at,updated_at,address_id,city,street_name,street_num,postal_code,building_name,photo_id,url
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,15,https://storage.googleapis.com/bamboo_site_images/listings/1625190028145.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,14,https://storage.googleapis.com/bamboo_site_images/listings/1625190028144.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,16,https://storage.googleapis.com/bamboo_site_images/listings/1625190028146.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,17,https://storage.googleapis.com/bamboo_site_images/listings/1625190028146.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,10,https://storage.googleapis.com/bamboo_site_images/listings/1625190028118.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,11,https://storage.googleapis.com/bamboo_site_images/listings/1625190028127.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,12,https://storage.googleapis.com/bamboo_site_images/listings/1625190028139.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,13,https://storage.googleapis.com/bamboo_site_images/listings/1625190028143.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,18,https://storage.googleapis.com/bamboo_site_images/listings/1625190028147.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,20,https://storage.googleapis.com/bamboo_site_images/listings/1625190028156.jpg
